date,quality_code,quality_label,zip_code,city,no2,so2,o3,pm10,pm2-5
2022-05-05,2,Moyen,59480,BASSEE,1,1,2,1,2
2022-05-05,2,Moyen,59134,BEAUCAMPS LIGNY,1,1,2,1,2
2022-05-05,2,Moyen,59830,BOUVINES,1,1,2,1,2
2022-05-05,2,Moyen,59152,CHERENG,1,1,2,1,2
2022-05-05,2,Moyen,59320,ERQUINGHEM LE SEC,1,1,2,1,2
2022-05-05,2,Moyen,59155,FACHES THUMESNIL,1,1,2,1,2
2022-05-05,2,Moyen,59510,FOREST SUR MARQUE,1,1,2,1,2
2022-05-05,2,Moyen,59134,FOURNES EN WEPPES,1,1,2,1,2
2022-05-05,2,Moyen,59236,FRELINGHIEN,1,1,2,1,2
2022-05-05,2,Moyen,59273,FRETIN,1,1,2,1,2
2022-05-05,2,Moyen,59249,FROMELLES,1,1,2,1,2
2022-05-05,2,Moyen,59152,GRUSON,1,1,2,1,2
2022-05-05,2,Moyen,59263,HOUPLIN ANCOISNE,1,1,2,1,2
2022-05-05,2,Moyen,59116,HOUPLINES,1,1,2,1,2
2022-05-05,2,Moyen,59390,LANNOY,1,1,2,1,2
2022-05-05,2,Moyen,59810,LESQUIN,1,1,2,2,2
2022-05-05,2,Moyen,59000,LILLE,1,1,2,2,2
2022-05-05,2,Moyen,59840,LOMPRET,1,1,2,1,2
2022-05-05,2,Moyen,59110,MADELEINE,1,1,2,1,2
2022-05-05,2,Moyen,59890,QUESNOY SUR DEULE,1,1,2,1,2
2022-05-05,2,Moyen,59790,RONCHIN,1,1,2,2,2
2022-05-05,2,Moyen,59175,VENDEVILLE,1,1,2,1,2
2022-05-05,2,Moyen,59118,WAMBRECHIES,1,1,2,1,2
2022-05-05,2,Moyen,59150,WATTRELOS,1,1,2,1,2
2022-05-05,2,Moyen,59117,WERVICQ SUD,1,1,2,1,2
2022-05-06,3,Dégradé,59112,ANNOEULLIN,1,1,3,1,2
2022-05-06,2,Moyen,59560,COMINES,1,1,2,1,2
2022-05-06,2,Moyen,59320,EMMERIN,1,1,2,2,2
2022-05-06,2,Moyen,59320,ENNETIERES EN WEPPES,1,1,2,2,2
2022-05-06,2,Moyen,59193,ERQUINGHEM LYS,1,1,2,1,2
2022-05-06,2,Moyen,59236,FRELINGHIEN,1,1,2,1,2
2022-05-06,2,Moyen,59273,FRETIN,2,1,2,2,2
2022-05-06,2,Moyen,59320,HALLENNES LEZ HAUBOURDIN,1,1,2,2,2
2022-05-06,3,Dégradé,59250,HALLUIN,2,1,3,2,2
2022-05-06,2,Moyen,59320,HAUBOURDIN,1,1,2,2,2
2022-05-06,2,Moyen,59134,HERLIES,1,1,2,1,2
2022-05-06,2,Moyen,59390,LANNOY,2,1,2,2,2
2022-05-06,2,Moyen,59810,LESQUIN,2,1,2,2,2
2022-05-06,2,Moyen,59390,SAILLY LEZ LANNOY,2,1,2,2,2
